epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6
1,1.0358346229818858,1.0971530884031266,0.6331006979062812,0.7922289772428205,0.31643190957611794,0.30297614068105866,0.22989719740518308,0.12448132780082988,0.2857142857142857,0.4444444444444444,0.0,0.8326055312954876,0.5277777777777778,0.0,0.9090909090909091,0.11538461538461539,0.07272727272727272,0.0,0.8524590163934426,0.17117117117117117,0.0,0.21897810218978103,0.1643835616438356,0.125,0.0,0.8424153166421208,0.2585034013605442,0.0,0.901124648547329,0.8053668203510473,0.7907360276901152,0.8440968718466195,0.8136076347117231,0.7150244414818405,0.6756463960710675
2,0.9774739862032676,0.9222394019838364,0.6869391824526421,0.789143024004849,0.40612168193563536,0.19755989100251395,0.19773184327642118,0.3333333333333333,0.4444444444444444,0.36,0.0,0.7050739957716702,1.0,0.0,0.21212121212121213,0.07692307692307693,0.08181818181818182,0.0,0.9940387481371088,0.018018018018018018,0.0,0.25925925925925924,0.13114754098360656,0.13333333333333333,0.0,0.8249845392702535,0.035398230088495575,0.0,0.9098406747891284,0.8652835072393432,0.7941769316909294,0.8062563067608476,0.8453800298062593,0.7652910758291924,0.5377726419182435
3,0.9475515407242187,0.9172291604299394,0.6889332003988036,0.8139421233794687,0.25910754340740194,0.19299252659908397,0.19199891812379846,0.3333333333333333,0.45454545454545453,0.2987012987012987,0.0,0.7271727172717272,0.0,0.0,0.06060606060606061,0.09615384615384616,0.20909090909090908,0.0,0.9850968703427719,0.0,0.0,0.10256410256410256,0.15873015873015872,0.24598930481283424,0.0,0.8367088607594937,0.0,0.0,0.9199937519525149,0.8616031707514358,0.7675862771047541,0.8789101917255298,0.8390731330687877,0.8067102977416878,0.6237180413115702
4,0.9286885732385122,0.892812865121024,0.7038883349950149,0.8186557468839067,0.3647446357809179,0.28445325904342295,0.28860682334175997,0.3793103448275862,0.2571428571428571,0.323943661971831,0.0,0.8033419023136247,0.7894736842105263,0.0,0.3333333333333333,0.17307692307692307,0.41818181818181815,0.0,0.9314456035767511,0.13513513513513514,0.0,0.3548387096774194,0.20689655172413793,0.36507936507936506,0.0,0.862663906142167,0.23076923076923078,0.0,0.9278038113089659,0.882734773113322,0.7939835080932506,0.8387151025899764,0.8599599590612823,0.7867026219044155,0.6406904521161345
5,0.920882293894955,0.8864640811133007,0.6939182452642074,0.8428403018874807,0.3114898902188274,0.3149238370549846,0.3060451620261353,0.22413793103448276,0.36666666666666664,0.3412698412698413,0.0,0.8483547925608012,0.4,0.0,0.3939393939393939,0.21153846153846154,0.39090909090909093,0.0,0.8837555886736215,0.32432432432432434,0.0,0.2857142857142857,0.2682926829268293,0.3644067796610169,0.0,0.8656934306569343,0.3582089552238806,0.0,0.9341143392689785,0.8872441963924614,0.8243510129288404,0.919021190716448,0.8774307363582496,0.809952329010625,0.6477683085367615
6,0.9059887503924435,0.9082693069700211,0.6849451645064806,0.8371232479425051,0.3715536782988603,0.18690637379161967,0.18605223201036122,0.25,0.3076923076923077,0.3333333333333333,0.0,0.7098501070663812,1.0,0.0,0.030303030303030304,0.15384615384615385,0.10909090909090909,0.0,0.9880774962742176,0.02702702702702703,0.0,0.05405405405405406,0.20512820512820512,0.1643835616438356,0.0,0.8261682242990654,0.05263157894736842,0.0,0.9248984692283662,0.8744843484591118,0.8099256846177338,0.8556172216616212,0.8756396674626973,0.8003171332767746,0.718980210891232
7,0.8976459982188325,0.9683025450933547,0.6919242273180458,0.8244609722855444,0.33498399359743897,0.3398604423194587,0.3242439224833104,0.3,0.36507936507936506,0.3142857142857143,0.0,0.8544117647058823,0.5111111111111111,0.0,0.36363636363636365,0.4423076923076923,0.5,0.0,0.8658718330849479,0.2072072072072072,0.0,0.3287671232876712,0.4,0.38596491228070173,0.0,0.8601036269430051,0.2948717948717949,0.0,0.9359575132771009,0.8861117851654128,0.8161050595541077,0.8800033636057853,0.8679950801716554,0.7577970347028643,0.6272569695218836
8,0.8967445948624719,0.8740335229843382,0.6849451645064806,0.8375259460096427,0.41348214733733324,0.18742818251014973,0.1873693904955427,0.5,0.47619047619047616,0.21428571428571427,0.0,0.7038988408851422,1.0,0.0,0.06060606060606061,0.19230769230769232,0.05454545454545454,0.0,0.9955290611028316,0.009009009009009009,0.0,0.10810810810810811,0.273972602739726,0.08695652173913043,0.0,0.8246913580246914,0.017857142857142856,0.0,0.9343330209309592,0.8976381137264418,0.8249821846686348,0.8498150016818028,0.8789075826405472,0.7869147174079909,0.6900910010111223
9,0.89636155813252,0.867531628835769,0.7048853439680958,0.8350361346338587,0.38040421304208877,0.21988394857247315,0.23731860026793528,0.3,0.5,0.37681159420289856,0.0,0.7360178970917226,0.75,0.0,0.09090909090909091,0.09615384615384616,0.23636363636363636,0.0,0.9806259314456036,0.13513513513513514,0.0,0.13953488372093023,0.16129032258064516,0.2905027932960894,0.0,0.8408945686900958,0.22900763358778625,0.0,0.9225242111840051,0.8845344980991668,0.8191285757915097,0.8596535486041036,0.8843526116388054,0.8154466125318144,0.6596128845876065
10,0.8763188153641409,0.8205983525230771,0.7128614157527418,0.8515677317783324,0.41012126122860704,0.2494364150101855,0.25948786965337395,0.3125,0.42105263157894735,0.3644067796610169,0.0,0.7728894173602854,1.0,0.0,0.15151515151515152,0.15384615384615385,0.39090909090909093,0.0,0.9687034277198212,0.08108108108108109,0.0,0.20408163265306123,0.22535211267605634,0.37719298245614036,0.0,0.8597883597883598,0.15,0.0,0.9327710090596688,0.9145636172450053,0.8391733686246564,0.8972418432559703,0.8920196434022228,0.8148305255928574,0.6703741152679474
