epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,rec_class_0,rec_class_1,f1_class_0,f1_class_1,auc_class_0,auc_class_1
1,0.4405032755501235,0.4062369309075467,0.8394758394758395,0.6767023394723741,0.6700164068908943,0.5020632155301145,0.46137849079025545,0.5,0.8400328137817884,0.00510204081632653,0.9990243902439024,0.010101010101010102,0.9126559714795008,0.6767023394723741,0.6767023394723742
2,0.41083092548286737,0.40653692466485036,0.8427518427518428,0.6892906918865107,0.7233971690258119,0.526709805873569,0.512428870919437,0.6,0.8467943380516236,0.061224489795918366,0.9921951219512195,0.1111111111111111,0.9137466307277629,0.6892906918865107,0.6892906918865107
3,0.40619115398001315,0.4161883961264189,0.8394758394758395,0.696804380288701,0.41973791973791974,0.5,0.45636687444345503,0.0,0.8394758394758395,0.0,1.0,0.0,0.9127337488869101,0.6968043802887008,0.696804380288701
4,0.4113930716221012,0.4182236808073985,0.8394758394758395,0.6525883524141364,0.41973791973791974,0.5,0.45636687444345503,0.0,0.8394758394758395,0.0,1.0,0.0,0.9127337488869101,0.6525883524141364,0.6525883524141364
5,0.4071858618686448,0.39805878476276024,0.8468468468468469,0.7189099054255849,0.8237147595356551,0.5291488302638129,0.5149625802723791,0.8,0.8474295190713101,0.061224489795918366,0.9970731707317073,0.11374407582938388,0.9161810847153743,0.7189099054255849,0.7189099054255849
6,0.40131332908770934,0.39929669369737825,0.8394758394758395,0.7199676455948232,0.41973791973791974,0.5,0.45636687444345503,0.0,0.8394758394758395,0.0,1.0,0.0,0.9127337488869101,0.7199676455948232,0.7199676455948233
7,0.40280737805722366,0.4021512514778546,0.8419328419328419,0.7013837730214036,0.9207717569786535,0.5076530612244898,0.4720526394791613,1.0,0.8415435139573071,0.015306122448979591,1.0,0.03015075376884422,0.9139545251894784,0.7013837730214036,0.7013837730214036
8,0.40568139659824654,0.4121079481654353,0.8394758394758395,0.6909780985564957,0.41973791973791974,0.5,0.45636687444345503,0.0,0.8394758394758395,0.0,1.0,0.0,0.9127337488869101,0.6909780985564957,0.6909780985564958
9,0.40756491315898613,0.4232266016981818,0.8394758394758395,0.7167197610751617,0.41973791973791974,0.5,0.45636687444345503,0.0,0.8394758394758395,0.0,1.0,0.0,0.9127337488869101,0.7167197610751617,0.7167197610751618
10,0.4003659390580298,0.40616038431981943,0.846027846027846,0.6804902936784469,0.7468267273380433,0.541040318566451,0.5379766198634549,0.6428571428571429,0.8507963118189439,0.09183673469387756,0.9902439024390244,0.16071428571428573,0.915238954012624,0.6804902936784469,0.680490293678447
11,0.3996869556939424,0.4011228090369856,0.8402948402948403,0.7241488302638128,0.9200819672131147,0.5025510204081632,0.46164629803398416,1.0,0.8401639344262295,0.00510204081632653,1.0,0.01015228426395939,0.9131403118040089,0.7241488302638128,0.7241488302638129
12,0.40039340629061654,0.3918772709447068,0.8501228501228502,0.7300920856147337,0.8660103576314246,0.5372896963663514,0.5293727370955206,0.8823529411764706,0.8496677740863787,0.07653061224489796,0.9980487804878049,0.14084507042253522,0.917900403768506,0.7300920856147338,0.7300920856147337
13,0.4005505789571734,0.4073215237298569,0.8402948402948403,0.6996565455450472,0.9200819672131147,0.5025510204081632,0.46164629803398416,1.0,0.8401639344262295,0.00510204081632653,1.0,0.01015228426395939,0.9131403118040089,0.6996565455450472,0.6996565455450473
14,0.39251161400061935,0.3935377839710805,0.8493038493038493,0.706602787456446,0.7607594936708861,0.555370831259333,0.5618193165860509,0.6666666666666666,0.8548523206751055,0.12244897959183673,0.9882926829268293,0.20689655172413793,0.9167420814479638,0.7066027874564459,0.706602787456446
15,0.3946662333919041,0.39298804143032473,0.8468468468468469,0.7103509208561474,0.9228547854785478,0.5229591836734694,0.5021053894043634,1.0,0.8457095709570958,0.04591836734693878,1.0,0.08780487804878048,0.9164059007599463,0.7103509208561474,0.7103509208561474
16,0.3948611728291013,0.3980734490535476,0.8468468468468469,0.7380935788949726,0.9228547854785478,0.5229591836734694,0.5021053894043634,1.0,0.8457095709570958,0.04591836734693878,1.0,0.08780487804878048,0.9164059007599463,0.7380935788949727,0.7380935788949725
17,0.3973576317527401,0.3997934416129992,0.8394758394758395,0.7056197112991539,0.41973791973791974,0.5,0.45636687444345503,0.0,0.8394758394758395,0.0,1.0,0.0,0.9127337488869101,0.7056197112991539,0.7056197112991539
18,0.39120545316098343,0.3981586506033873,0.8484848484848485,0.7181383773021404,0.9235537190082644,0.5280612244897959,0.5117530720098563,1.0,0.8471074380165289,0.05612244897959184,1.0,0.10628019323671498,0.9172259507829977,0.7181383773021404,0.7181383773021404
19,0.3902672355744376,0.3936676323026806,0.8493038493038493,0.7239447486311598,0.7340435315757203,0.5760029865604779,0.5929115025005436,0.6071428571428571,0.8609442060085837,0.17346938775510204,0.9785365853658536,0.2698412698412698,0.9159817351598174,0.7239447486311598,0.7239447486311598
20,0.3885952195347245,0.389983595772223,0.8452088452088452,0.7409009457441513,0.7054195804195804,0.5900696864111498,0.6102776891158634,0.5454545454545454,0.8653846153846154,0.21428571428571427,0.9658536585365853,0.3076923076923077,0.9128630705394191,0.7409009457441513,0.7409009457441513
21,0.3821997713686815,0.38591790141223314,0.8468468468468469,0.7345843703334992,0.7377533783783783,0.5518442010950722,0.5563856016258109,0.6216216216216216,0.8538851351351351,0.11734693877551021,0.9863414634146341,0.19742489270386265,0.9153463105477592,0.7345843703334992,0.7345843703334992
