epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,rec_class_0,rec_class_1,f1_class_0,f1_class_1,auc_class_0,auc_class_1
1,0.6438566799821525,0.6283954438709077,0.6930091185410334,0.5896517283307279,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.5896517283307279,0.5896517283307278
2,0.6191765357708109,0.6285284133184523,0.6930091185410334,0.5177989838457531,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.5177989838457531,0.517798983845753
3,0.6098380779397898,0.625229971749442,0.6930091185410334,0.4846545509814139,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.48465455098141386,0.48465455098141397
4,0.6121781447838093,0.6051263355073475,0.6930091185410334,0.6259065051241965,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.6259065051241965,0.6259065051241965
5,0.611511651400862,0.6073782784598214,0.6930091185410334,0.7020095101615424,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.7020095101615424,0.7020095101615424
6,0.5999916602825296,0.5816986447288877,0.6975683890577508,0.6806225030397777,0.7483920367534457,0.5088044988709397,0.4296032026066918,0.8,0.6967840735068913,0.019801980198019802,0.9978070175438597,0.03864734299516908,0.8205590622182146,0.6806225030397777,0.6806225030397776
7,0.5985723298171471,0.6148678007579985,0.6930091185410334,0.6404214434601354,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.6404214434601354,0.6404214434601355
8,0.5909658629318764,0.5476466587611607,0.6945288753799392,0.7125781657113079,0.6806615776081425,0.5038540038214347,0.41929705165638514,0.6666666666666666,0.6946564885496184,0.009900990099009901,0.9978070175438597,0.01951219512195122,0.819081908190819,0.712578165711308,0.7125781657113079
9,0.601958649733971,0.5856710161481585,0.6930091185410334,0.7196347924266111,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.7196347924266111,0.7196347924266111
10,0.5906665538919383,0.6148549942743211,0.6930091185410334,0.7261214608302935,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.7261214608302935,0.7261214608302936
11,0.5972484325540477,0.7367689041864305,0.6930091185410334,0.526017239881883,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.5260172398818829,0.526017239881883
12,0.5849414430815598,0.6002077375139508,0.6930091185410334,0.610778183081466,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.610778183081466,0.610778183081466
13,0.5882113752693966,0.5781190963018508,0.6930091185410334,0.7171161195066875,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.7171161195066876,0.7171161195066875
14,0.5789279411579,0.5574705941336495,0.6930091185410334,0.774502779225291,0.3465045592705167,0.5,0.40933572710951527,0.0,0.6930091185410334,0.0,1.0,0.0,0.8186714542190305,0.7745027792252909,0.774502779225291
15,0.5721349255792025,0.5667492548624674,0.71580547112462,0.756633229112385,0.8545878693623639,0.5371287128712872,0.48404708092400717,1.0,0.7091757387247278,0.07425742574257425,1.0,0.1382488479262673,0.8298453139217471,0.756633229112385,0.756633229112385
16,0.572040031696188,0.5478928883870443,0.7188449848024316,0.7746547681083897,0.6690309062336302,0.5875781657113079,0.5857198768016063,0.6024096385542169,0.7356521739130435,0.24752475247524752,0.9276315789473685,0.3508771929824561,0.8205625606207565,0.7746547681083897,0.7746547681083897
17,0.5653300975931101,0.5588764917282831,0.6884498480243161,0.7717724075039083,0.6437087502661273,0.6538887441375716,0.6471979055236321,0.4935064935064935,0.7939110070257611,0.5643564356435643,0.743421052631579,0.5265588914549654,0.7678369195922989,0.7717724075039083,0.7717724075039083
18,0.5572571458487675,0.5325668425787062,0.7218844984802432,0.7926600225812055,0.6712255772646536,0.5994224422442244,0.602125276315659,0.6,0.7424511545293073,0.28217821782178215,0.9166666666666666,0.3838383838383838,0.8204121687929342,0.7926600225812055,0.7926600225812055
19,0.5559568931316508,0.5615562257312593,0.7082066869300911,0.767435296161195,0.6488471413054211,0.6309167100920618,0.6366522864538395,0.5304878048780488,0.7672064777327935,0.4306930693069307,0.831140350877193,0.47540983606557374,0.7978947368421052,0.767435296161195,0.767435296161195
20,0.5585040191124225,0.5804857980637324,0.7310030395136778,0.8015079468473163,0.704062604062604,0.7328469689074171,0.7084523437011077,0.5457875457875457,0.8623376623376623,0.7376237623762376,0.7280701754385965,0.6273684210526316,0.7895362663495838,0.8015079468473163,0.8015079468473163
21,0.5468060789437129,0.4955487024216425,0.7203647416413373,0.794896430432517,0.6847906144781144,0.5762658502692375,0.5665162907268171,0.640625,0.7289562289562289,0.20297029702970298,0.9495614035087719,0.3082706766917293,0.8247619047619048,0.794896430432517,0.794896430432517
22,0.5580445717120993,0.5490122522626605,0.7279635258358662,0.7672887354524927,0.7052406278375924,0.5858845752996352,0.5794746557270524,0.676923076923077,0.7335581787521079,0.21782178217821782,0.9539473684210527,0.3295880149812734,0.8293612964728313,0.7672887354524925,0.7672887354524927
23,0.5488969474003232,0.5609786624000186,0.7036474164133738,0.7674732933819697,0.6380136458523054,0.6069458919576167,0.6125940888216592,0.5255474452554745,0.7504798464491362,0.3564356435643564,0.8574561403508771,0.4247787610619469,0.8004094165813715,0.7674732933819697,0.7674732933819698
24,0.5569299237481479,0.48638675326392766,0.7416413373860182,0.801024839326038,0.713281610078353,0.6205706096925482,0.6277140993383654,0.6739130434782609,0.7526501766784452,0.3069306930693069,0.9342105263157895,0.4217687074829932,0.8336594911937377,0.8010248393260379,0.801024839326038
25,0.5436784053670949,0.5057877131870815,0.7249240121580547,0.7865804672572521,0.818609794628752,0.5547377106131666,0.5182178209811369,0.92,0.717219589257504,0.11386138613861387,0.9956140350877193,0.2026431718061674,0.8337924701561065,0.7865804672572521,0.7865804672572521
26,0.534206798158843,0.5134090128399077,0.7249240121580547,0.819442635052979,0.7903349597061564,0.5574952232065311,0.5248149699762603,0.8620689655172413,0.7186009538950715,0.12376237623762376,0.9912280701754386,0.21645021645021645,0.8331797235023042,0.819442635052979,0.819442635052979
27,0.5406951476787699,0.4855810801188151,0.756838905775076,0.8201211568525273,0.7935159125351807,0.617747959006427,0.6209240695932712,0.8387096774193549,0.7483221476510067,0.25742574257425743,0.9780701754385965,0.3939393939393939,0.8479087452471483,0.8201211568525273,0.8201211568525273
28,0.5299731813628098,0.5089740299043202,0.7401215805471124,0.809232239013375,0.6967311510226696,0.6387767066180302,0.6491913986138262,0.628099173553719,0.7653631284916201,0.37623762376237624,0.9013157894736842,0.47058823529411764,0.8277945619335347,0.809232239013375,0.809232239013375
29,0.5408804696181725,0.49615873609270367,0.743161094224924,0.8070284002084418,0.7742554186808046,0.5954707312836547,0.5889856036665373,0.8113207547169812,0.7371900826446282,0.21287128712871287,0.9780701754385965,0.33725490196078434,0.8407163053722903,0.8070284002084419,0.8070284002084418
