epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,prec_class_7,prec_class_8,prec_class_9,prec_class_10,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,rec_class_7,rec_class_8,rec_class_9,rec_class_10,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9,f1_class_10,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6,auc_class_7,auc_class_8,auc_class_9,auc_class_10
1,1.3202245773428318,0.9328706614176432,0.6174749163879598,0.9726028535363628,0.6489004160499862,0.5484572188503402,0.5198583606024444,0.5887850467289719,0.5094339622641509,0.5294117647058824,0.92,0.4069767441860465,0.6666666666666666,0.6067892503536068,1.0,0.5583173996175909,0.9397590361445783,0.4117647058823529,0.9895287958115183,0.7941176470588235,0.09375,0.9108910891089109,0.26515151515151514,0.07643312101910828,1.0,0.2622478386167147,0.8295454545454546,0.43575418994413406,0.375609756097561,0.73828125,0.6206896551724138,0.1592920353982301,0.9154228855721394,0.3211009174311927,0.13714285714285715,0.7552816901408451,0.4155251141552511,0.6674285714285715,0.5954198473282443,0.39285714285714285,0.9967982188010684,0.9783414675914034,0.976421856852497,0.9989081784890819,0.9603244837758113,0.9681984639279556,0.9936339768229733,0.9924451991572896,0.9483720476827094,0.9719685858323215,0.9132189099668775
2,1.0117526751117258,0.8078284096717835,0.6927257525083612,0.9788831759139793,0.71608266601596,0.61944136884573,0.6241971914659338,0.9926470588235294,0.5679012345679012,0.5535714285714286,0.8356164383561644,0.3170731707317073,0.48717948717948717,0.5390428211586902,0.9711191335740073,0.9362416107382551,0.9814814814814815,0.6950354609929078,0.7068062827225131,0.45098039215686275,0.6458333333333334,0.6039603960396039,0.09848484848484848,0.9681528662420382,0.9976689976689976,0.7752161383285303,0.7926136363636364,0.29608938547486036,0.47804878048780486,0.8256880733944955,0.5027322404371585,0.5961538461538461,0.7011494252873564,0.15028901734104047,0.6481876332622601,0.6999182338511856,0.8621794871794872,0.8584615384615385,0.45493562231759654,0.5664739884393064,0.9958372086938112,0.9823058481034335,0.977832825203252,0.9859057823590578,0.9575154196835612,0.9725900910528791,0.9911177292736132,0.993793817774427,0.988058433600713,0.9755709658771051,0.9471868134319202
3,0.87839722166667,0.541265678803126,0.7905518394648829,0.9858361554370298,0.7291246062085093,0.705537871720167,0.693594446101759,0.9770992366412213,0.0,0.4864864864864865,0.8941798941798942,0.9180327868852459,0.6865671641791045,0.6640866873065016,0.9851632047477745,0.9710982658959537,0.6054421768707483,0.8322147651006712,0.6701570680628273,0.0,0.9375,0.8366336633663366,0.42424242424242425,0.8789808917197452,1.0,0.9567723342939481,0.9545454545454546,0.4972067039106145,0.6048780487804878,0.7950310559006211,0.0,0.6405693950177936,0.8644501278772379,0.5803108808290155,0.770949720670391,0.7981395348837209,0.9707602339181286,0.9627507163323782,0.5460122699386503,0.7005649717514124,0.992523626814085,0.9804649370665296,0.9806230037746806,0.9926940639269406,0.9783454009117726,0.9815614357571354,0.9987068458795407,0.9996321949225989,0.9951147504456328,0.9710294930666175,0.9735019572417948
4,0.7877198280226876,0.4205967229604721,0.830267558528428,0.9916300799545691,0.752237962767504,0.7540758989416712,0.7189183715476366,1.0,0.5191256830601093,0.0,0.8705357142857143,0.5020576131687243,0.9347826086956522,0.8597194388777555,0.9853801169590644,0.987987987987988,0.6859504132231405,0.9290780141843972,0.7277486910994765,0.9313725490196079,0.0,0.9653465346534653,0.9242424242424242,0.27388535031847133,1.0,0.9711815561959655,0.9346590909090909,0.9273743016759777,0.6390243902439025,0.8424242424242424,0.6666666666666666,0.0,0.9154929577464789,0.6506666666666666,0.4236453201970443,0.9245689655172413,0.9782293178519593,0.9605839416058394,0.7885985748218527,0.7572254335260116,0.9971074547266712,0.9842323829094957,0.9819704558652729,0.9975654414756544,0.9841478948779834,0.9923851864517875,0.9997090700096304,0.9998308942172868,0.9900623885918003,0.9945724477250982,0.9863472626495813
5,0.7558952413416673,0.5014030954241753,0.802257525083612,0.9887153701458383,0.7663587945083589,0.7146613239848381,0.6979533249232492,0.9318181818181818,0.6190476190476191,0.4880952380952381,0.8934010152284264,0.5,0.5451388888888888,0.7333333333333333,0.9886039886039886,1.0,0.8305084745762712,0.9,0.8586387434554974,0.12745098039215685,0.8541666666666666,0.8712871287128713,0.18181818181818182,1.0,1.0,1.0,0.9375,0.547486033519553,0.48292682926829267,0.8937329700272479,0.21138211382113822,0.6212121212121212,0.8822055137844611,0.26666666666666666,0.7056179775280899,0.8461538461538461,0.994269340974212,0.967741935483871,0.6599326599326599,0.6285714285714286,0.9975546574498503,0.98340183234866,0.9818797183507549,0.9960599484605995,0.9822807723250202,0.9966143718206302,0.9986985335941017,1.0,0.9980211118538324,0.9755936858633721,0.9657644395373994
6,0.7215693457977692,0.3546985948085785,0.8929765886287625,0.9932399884682653,0.8607994769167377,0.8493166658293518,0.8480405118162436,1.0,0.6752136752136753,0.7424242424242424,0.9305555555555556,0.6868131868131868,0.9296875,0.9563218390804598,1.0,0.996996996996997,0.84375,0.70703125,0.8219895287958116,0.7745098039215687,0.5104166666666666,0.995049504950495,0.946969696969697,0.7579617834394905,0.9696969696969697,0.9855907780979827,0.9431818181818182,0.7541899441340782,0.8829268292682927,0.9022988505747126,0.7214611872146118,0.6049382716049383,0.9617224880382775,0.7961783439490446,0.8350877192982457,0.9629629629629629,0.9927431059506531,0.9693430656934306,0.7964601769911505,0.7852494577006508,0.9985275612465537,0.9880554842024146,0.9850872894889663,0.9999276639992767,0.9935237329042639,0.9966457202296983,0.9990571493373327,0.9999563143394657,0.9845560383244206,0.9927043599653645,0.9875985591131631
7,0.6936354193234708,0.6192852292458216,0.7608695652173914,0.9893319817919117,0.7622569119244008,0.6591860218212386,0.6483960076856065,1.0,0.5212121212121212,0.5333333333333333,0.9051094890510949,0.7586206896551724,0.585820895522388,0.6033755274261603,0.9012987012987013,1.0,0.6779661016949152,0.8980891719745223,0.675392670157068,0.8431372549019608,0.08333333333333333,0.6138613861386139,0.16666666666666666,1.0,1.0,1.0,0.9573863636363636,0.22346368715083798,0.6878048780487804,0.80625,0.6441947565543071,0.14414414414414414,0.7315634218289085,0.2732919254658385,0.7388235294117647,0.7526315789473684,0.9480874316939891,0.9782293178519593,0.33613445378151263,0.7790055248618785,0.9979304980363519,0.9811156777121328,0.9798562717770035,0.9929969709299697,0.982257307589166,0.9960415508912923,0.9989752139522898,1.0,0.998532196969697,0.962395898285146,0.9925502135679792
8,0.6513572346634988,0.27149023085832596,0.9184782608695652,0.9957937999807303,0.892556771554852,0.8759545749040197,0.8686688820894838,0.9936305732484076,0.9318181818181818,0.5972222222222222,0.9663461538461539,0.8545454545454545,0.7839195979899497,0.9976190476190476,1.0,1.0,0.8,0.8930232558139535,0.8167539267015707,0.4019607843137255,0.8958333333333334,0.995049504950495,0.7121212121212122,0.9936305732484076,0.9766899766899767,0.9971181556195965,0.9488636363636364,0.9608938547486033,0.9365853658536586,0.896551724137931,0.5616438356164384,0.7166666666666667,0.9804878048780488,0.7768595041322314,0.8764044943820225,0.9870435806831567,0.9985569985569985,0.9737609329446064,0.8730964467005076,0.9142857142857143,0.9985561061012248,0.9918571795530439,0.9891931620209059,0.9996518829965187,0.9968624296057924,0.9982530386582881,0.9985453500481518,0.9999985907851441,0.9858873663101604,0.997384677136373,0.997542016572429
9,0.6517124992925054,0.46928775231043496,0.8072742474916388,0.9924155815361224,0.8125885206042877,0.7406119640749619,0.7394524116210025,0.9818181818181818,0.5555555555555556,0.7058823529411765,0.9807692307692307,1.0,0.7349397590361446,0.9088983050847458,0.855,1.0,0.6650485436893204,0.550561797752809,0.5654450261780105,0.8823529411764706,0.25,0.7574257425742574,0.4318181818181818,0.7770700636942676,1.0,0.9855907780979827,0.7755681818181818,0.7653631284916201,0.9560975609756097,0.717607973421927,0.6818181818181818,0.36923076923076925,0.8547486033519553,0.6031746031746031,0.7554179566563467,0.9522752497225305,0.9156626506024096,0.8736,0.7116883116883117,0.6987522281639929,0.9939889293538634,0.9884878842366641,0.9894472270615564,0.9991703964917039,0.9955953338696701,0.9888171675287479,0.9999097523295181,0.9990417338979587,0.9941273952762923,0.977643533513242,0.9903420433381289
10,0.6396983240704648,0.404095983505249,0.8520066889632107,0.9935051073225675,0.874516741783733,0.8015208921651852,0.8122068086779776,0.9847328244274809,0.8809523809523809,0.5398773006134969,0.9929078014184397,0.9349593495934959,0.9127906976744186,0.6919354838709677,0.9942196531791907,1.0,0.9009009009009009,0.7864077669902912,0.675392670157068,0.3627450980392157,0.9166666666666666,0.693069306930693,0.8712121212121212,1.0,1.0,0.9913544668587896,0.9573863636363636,0.5586592178770949,0.7902439024390244,0.8012422360248447,0.5138888888888888,0.6795366795366795,0.8163265306122449,0.9019607843137255,0.9544072948328267,0.8179218303145853,0.9927849927849928,0.9782293178519593,0.6896551724137931,0.7883211678832117,0.998463335323544,0.9917715557838856,0.9885443887921022,0.9986210949862109,0.9982267363904532,0.9996038701035922,0.9992887058602801,0.9999929539257203,0.9998746657754011,0.9716959459971171,0.9824729276099347
