epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4
1,1.4191518671372358,1.4241523742675781,0.4666666666666667,0.6699339674761491,0.2511392927105887,0.3087301587301587,0.24137336649966717,0.639344262295082,0.0,0.3333333333333333,0.2830188679245283,0.0,0.7222222222222222,0.0,0.07142857142857142,0.75,0.0,0.6782608695652174,0.0,0.11764705882352941,0.410958904109589,0.0,0.7915263748597082,0.5925925925925926,0.6638198757763976,0.676,0.6257309941520468
2,1.3756842893712662,1.4790973663330078,0.36666666666666664,0.6065731857091125,0.14848569046957488,0.24074074074074076,0.1673899866650503,0.6440677966101694,0.09836065573770492,0.0,0.0,0.0,0.7037037037037037,0.5,0.0,0.0,0.0,0.672566371681416,0.1643835616438356,0.0,0.0,0.0,0.7789001122334456,0.6165123456790124,0.6413043478260869,0.3865,0.6096491228070176
3,1.366731783922981,1.4007549285888672,0.48333333333333334,0.6165477053415269,0.2444444444444444,0.2795238095238095,0.25379992930364087,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,0.0,0.21428571428571427,0.35,0.0,0.6666666666666666,0.0,0.2608695652173913,0.34146341463414637,0.0,0.7511223344556678,0.5262345679012346,0.6323757763975155,0.654,0.5190058479532164
4,1.3571279329412125,1.3634319305419922,0.4666666666666667,0.6731882769432731,0.227029702970297,0.24100529100529103,0.20726556639159788,0.48514851485148514,0.25,0.4,0.0,0.0,0.9074074074074074,0.08333333333333333,0.21428571428571427,0.0,0.0,0.632258064516129,0.125,0.27906976744186046,0.0,0.0,0.7609427609427609,0.5848765432098766,0.6319875776397516,0.7010000000000001,0.6871345029239766
5,1.3381870353923124,1.4334030151367188,0.44166666666666665,0.6192051469986634,0.1938283568530071,0.2666666666666667,0.22191451479377172,0.569620253164557,0.13636363636363635,0.0,0.2631578947368421,0.0,0.8333333333333334,0.25,0.0,0.25,0.0,0.6766917293233082,0.17647058823529413,0.0,0.2564102564102564,0.0,0.7365319865319865,0.6234567901234569,0.5663819875776397,0.5409999999999999,0.6286549707602339
6,1.3400876381817985,1.3689212799072266,0.43333333333333335,0.6699264969626526,0.11607142857142856,0.20555555555555555,0.14289156626506022,0.45535714285714285,0.125,0.0,0.0,0.0,0.9444444444444444,0.08333333333333333,0.0,0.0,0.0,0.6144578313253012,0.1,0.0,0.0,0.0,0.7567340067340068,0.625,0.5702639751552795,0.7105,0.6871345029239766
7,1.343059680041145,1.4030418395996094,0.475,0.6218717327281019,0.22685009487666036,0.2619047619047619,0.2290726740641385,0.5294117647058824,0.25,0.3548387096774194,0.0,0.0,0.8333333333333334,0.08333333333333333,0.39285714285714285,0.0,0.0,0.6474820143884892,0.125,0.3728813559322034,0.0,0.0,0.733726150392817,0.5169753086419753,0.625388198757764,0.609,0.6242690058479532
8,1.3460201936609604,1.3476810455322266,0.4583333333333333,0.6791621320538941,0.20535714285714285,0.21746031746031744,0.16860585197934594,0.45535714285714285,0.0,0.5714285714285714,0.0,0.0,0.9444444444444444,0.0,0.14285714285714285,0.0,0.0,0.6144578313253012,0.0,0.22857142857142856,0.0,0.0,0.7488776655443322,0.6080246913580247,0.6288819875776398,0.6995,0.7105263157894737
9,1.3300267528085148,1.4289302825927734,0.45,0.6680932980599648,0.137152209492635,0.2518518518518519,0.17724039829302987,0.5319148936170213,0.15384615384615385,0.0,0.0,0.0,0.9259259259259259,0.3333333333333333,0.0,0.0,0.0,0.6756756756756757,0.21052631578947367,0.0,0.0,0.0,0.7623456790123457,0.6396604938271605,0.6160714285714286,0.6835,0.6388888888888888
10,1.3307018700767965,1.3853740692138672,0.4666666666666667,0.6666496249407005,0.17464296123579132,0.25555555555555554,0.20695013123359582,0.5753424657534246,0.0,0.2978723404255319,0.0,0.0,0.7777777777777778,0.0,0.5,0.0,0.0,0.6614173228346457,0.0,0.37333333333333335,0.0,0.0,0.7272727272727273,0.537037037037037,0.6366459627329193,0.732,0.7002923976608187
