epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4
19,1.3512114917530733,1.3332157135009766,0.45,0.6870832135601777,0.1932126696832579,0.30074074074074075,0.21612349914236706,0.7307692307692307,0.0,0.0,0.23529411764705882,0.0,0.7037037037037037,0.0,0.0,0.8,0.0,0.7169811320754716,0.0,0.0,0.36363636363636365,0.0,0.8319304152637487,0.625,0.6692546583850931,0.6835,0.6257309941520468
20,1.3334876228781307,1.3149518966674805,0.49166666666666664,0.6759876340316462,0.184377732439522,0.312962962962963,0.2281349159713245,0.6027397260273972,0.0,0.0,0.3191489361702128,0.0,0.8148148148148148,0.0,0.0,0.75,0.0,0.6929133858267716,0.0,0.0,0.44776119402985076,0.0,0.7732884399551065,0.6628086419753086,0.6222826086956522,0.6315,0.6900584795321638
21,1.3326537188361673,1.5337905883789062,0.25833333333333336,0.5255169793536689,0.23629201680672268,0.2126984126984127,0.14765975161312705,0.8823529411764706,0.0,0.14285714285714285,0.15625,0.0,0.2777777777777778,0.0,0.03571428571428571,0.75,0.0,0.4225352112676056,0.0,0.05714285714285714,0.25862068965517243,0.0,0.7051066217732885,0.6026234567901234,0.6277173913043479,0.3705,0.3216374269005848
22,1.3213021334479838,1.317030906677246,0.4166666666666667,0.6782370347622827,0.09009009009009009,0.18518518518518517,0.12121212121212122,0.45045045045045046,0.0,0.0,0.0,0.0,0.9259259259259259,0.0,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.0,0.0,0.781705948372615,0.6952160493827161,0.7154503105590062,0.5569999999999999,0.6418128654970761
23,1.3091213562909294,1.3371601104736328,0.45,0.6746056202943311,0.3645210727969349,0.2406878306878307,0.20866750208855472,0.4777777777777778,0.0,0.3448275862068966,1.0,0.0,0.7962962962962963,0.0,0.35714285714285715,0.05,0.0,0.5972222222222222,0.0,0.3508771929824561,0.09523809523809523,0.0,0.7721661054994389,0.6612654320987654,0.7368012422360248,0.618,0.5847953216374269
24,1.313100309932933,1.4488143920898438,0.45,0.571498423668599,0.15714285714285714,0.22751322751322753,0.18317025440313112,0.5,0.0,0.2857142857142857,0.0,0.0,0.8518518518518519,0.0,0.2857142857142857,0.0,0.0,0.6301369863013698,0.0,0.2857142857142857,0.0,0.0,0.6902356902356902,0.6280864197530864,0.6428571428571429,0.5045,0.391812865497076
25,1.3149455575382007,1.2801322937011719,0.43333333333333335,0.7080603795390981,0.1458823529411765,0.23666666666666666,0.18040549378678875,0.5294117647058824,0.0,0.0,0.2,0.0,0.8333333333333334,0.0,0.0,0.35,0.0,0.6474820143884892,0.0,0.0,0.2545454545454545,0.0,0.7974186307519641,0.6697530864197532,0.6603260869565217,0.6745,0.7383040935672515
26,1.3150218514835132,1.2856206893920898,0.525,0.6550531096075719,0.22916666666666666,0.31587301587301586,0.24894117647058822,0.8125,0.0,0.3333333333333333,0.0,0.0,0.7222222222222222,0.0,0.8571428571428571,0.0,0.0,0.7647058823529411,0.0,0.48,0.0,0.0,0.7965768799102132,0.6628086419753086,0.672748447204969,0.5905,0.5526315789473684
27,1.3058899150175207,1.2908086776733398,0.525,0.6611834575826185,0.3058503401360544,0.3215873015873016,0.2770733319562074,0.7959183673469388,0.0,0.3333333333333333,0.4,0.0,0.7222222222222222,0.0,0.7857142857142857,0.1,0.0,0.7572815533980582,0.0,0.46808510638297873,0.16,0.0,0.8033108866442199,0.6643518518518519,0.6890527950310559,0.6184999999999999,0.5307017543859649
28,1.3053243300494026,1.4496631622314453,0.44166666666666665,0.5954329810399224,0.24709439705234493,0.2937037037037037,0.25459354569065884,0.6829268292682927,0.0,0.3620689655172414,0.19047619047619047,0.0,0.5185185185185185,0.0,0.75,0.2,0.0,0.5894736842105263,0.0,0.4883720930232558,0.1951219512195122,0.0,0.7309203142536477,0.7199074074074074,0.6754658385093167,0.519,0.33187134502923976
