epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,rec_class_0,rec_class_1,f1_class_0,f1_class_1,auc_class_0,auc_class_1
1,0.3998614592067266,0.36805389381267806,0.8263358778625954,0.9032181281538607,0.7831501831501831,0.7355136627630201,0.7533811565494877,0.7115384615384616,0.8547619047619047,0.5481481481481482,0.922879177377892,0.6192468619246861,0.8875154511742892,0.9032181281538608,0.9032181281538607
2,0.31909426511344263,0.7062695044459719,0.7251908396946565,0.8780158050080931,0.7279959204487507,0.7979815290869275,0.7088888888888889,0.4830188679245283,0.972972972972973,0.9481481481481482,0.6478149100257069,0.64,0.7777777777777778,0.8780158050080932,0.8780158050080928
3,0.3069425184847945,0.4900541106859843,0.7805343511450382,0.971322479291631,0.7651346604215457,0.8449300199942873,0.7623357825447346,0.5409836065573771,0.9892857142857143,0.9777777777777777,0.712082262210797,0.6965699208443272,0.828101644245142,0.971322479291631,0.971322479291631
4,0.2676717244972617,0.4194460195122343,0.8492366412213741,0.9654860516043036,0.8108149509803921,0.8863658002475483,0.8277685551547529,0.6372549019607843,0.984375,0.9629629629629629,0.8097686375321337,0.7669616519174042,0.8885754583921015,0.9654860516043036,0.9654860516043036
5,0.2718074105553708,0.21332854935617157,0.9083969465648855,0.967599733409502,0.8975656426065696,0.8560792154622489,0.8739248120300752,0.8782608695652174,0.9168704156479217,0.7481481481481481,0.9640102827763496,0.808,0.9398496240601504,0.967599733409502,0.967599733409502
6,0.2592954247684802,0.23281658644025977,0.898854961832061,0.973978863181948,0.857876370887338,0.9101113967437875,0.8774485360633675,0.7411764705882353,0.9745762711864406,0.9333333333333333,0.8868894601542416,0.8262295081967214,0.9286675639300135,0.973978863181948,0.973978863181948
7,0.23938282041226402,0.20868737106634813,0.9236641221374046,0.9690183757021804,0.908671679197995,0.8881272017518804,0.8976962124170246,0.88,0.9373433583959899,0.8148148148148148,0.961439588688946,0.8461538461538461,0.949238578680203,0.9690183757021804,0.9690183757021804
8,0.22597824405815642,0.1771221666625052,0.9312977099236641,0.9878891745215652,0.8963003245925598,0.9440540797867276,0.9155973154362416,0.803680981595092,0.9889196675900277,0.9703703703703703,0.9177377892030848,0.8791946308724832,0.952,0.9878891745215651,0.9878891745215652
9,0.22679039967262138,0.2568858489394188,0.9064885496183206,0.9677330286584785,0.8672086720867209,0.9128344282585927,0.8853499202950645,0.7621951219512195,0.9722222222222222,0.9259259259259259,0.8997429305912596,0.8361204013377926,0.9345794392523364,0.9677330286584785,0.9677330286584785
10,0.22771257899575315,0.9821075905453075,0.6335877862595419,0.9607064648195753,0.7064220183486238,0.7532133676092545,0.6283852666105225,0.41284403669724773,1.0,1.0,0.506426735218509,0.5844155844155844,0.6723549488054608,0.9607064648195753,0.9607064648195753
11,0.21779480374465554,0.23464213469714829,0.9103053435114504,0.9822812529753404,0.8708047040169133,0.9274969056460058,0.891738868594689,0.7558139534883721,0.9857954545454546,0.9629629629629629,0.8920308483290489,0.8469055374592834,0.9365721997300944,0.9822812529753403,0.9822812529753404
12,0.21068747346684083,0.11590348116376183,0.9561068702290076,0.9919642007045606,0.9301782682512734,0.9631819480148529,0.9448186184508738,0.868421052631579,0.9919354838709677,0.9777777777777777,0.9485861182519281,0.9198606271777003,0.9697766097240473,0.9919642007045606,0.9919642007045606
13,0.20494899022377144,0.22329827962499676,0.9179389312977099,0.9914691040655051,0.8792450365726228,0.9423117204608207,0.9016958469854761,0.7613636363636364,0.9971264367816092,0.9925925925925926,0.8920308483290489,0.8617363344051447,0.9416553595658074,0.9914691040655051,0.9914691040655051
14,0.20483466447409937,0.14239631759736573,0.9541984732824428,0.985070932114634,0.9506967418546366,0.9280396077311245,0.9386177274502148,0.944,0.9573934837092731,0.8740740740740741,0.9820051413881749,0.9076923076923077,0.9695431472081218,0.985070932114634,0.9850709321146339
15,0.1986624157024642,0.2849580060803529,0.9122137404580153,0.972722079405884,0.8732061005083758,0.9263638960297058,0.8934281267685342,0.7633136094674556,0.9830985915492958,0.9555555555555556,0.897172236503856,0.8486842105263158,0.9381720430107527,0.9727220794058841,0.972722079405884
16,0.202841653561188,0.2463520575653423,0.898854961832061,0.9950490336094449,0.8590425531914894,0.9318766066838047,0.8814049322088182,0.7180851063829787,1.0,1.0,0.8637532133676092,0.8359133126934984,0.926896551724138,0.9950490336094449,0.995049033609445
