epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6
1,1.062267636191355,0.9865338423895458,0.6779661016949152,0.7513440936302492,0.15097796860091942,0.15563125399190975,0.13708369817021246,0.0,0.0,0.37037037037037035,0.0,0.6864754098360656,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.9985096870342772,0.0,0.0,0.0,0.0,0.145985401459854,0.0,0.8136004857316332,0.0,0.0,0.9025929397063418,0.7856507320229718,0.7872747633105976,0.5626471577531114,0.8298978327617474,0.7330323597139741,0.6583128701430017
2,0.9967919797657832,0.9302906725141737,0.6809571286141576,0.7872212712489791,0.28652889727319497,0.16993116173444042,0.16052390893231702,1.0,0.0,0.30612244897959184,0.0,0.6995798319327731,0.0,0.0,0.06060606060606061,0.0,0.13636363636363635,0.0,0.992548435171386,0.0,0.0,0.11428571428571428,0.0,0.18867924528301888,0.0,0.8207024029574861,0.0,0.0,0.9049359575132772,0.8475289169295479,0.7979741423190472,0.6465691220988901,0.861966494891638,0.7667555447824506,0.6848187202080023
3,0.9817947666394656,0.9350847895183261,0.6779661016949152,0.787244384470141,0.34079383305225636,0.17024751205079075,0.16376541623843782,1.0,0.4166666666666667,0.27586206896551724,0.0,0.6930280957336108,0.0,0.0,0.030303030303030304,0.09615384615384616,0.07272727272727272,0.0,0.992548435171386,0.0,0.0,0.058823529411764705,0.15625,0.11510791366906475,0.0,0.8161764705882353,0.0,0.0,0.897125898156826,0.8591967968939578,0.8055074824391734,0.6447191389169189,0.8667651230854865,0.7787944895568214,0.6586017622418027
4,0.9589232956165592,1.1569048866393075,0.6001994017946162,0.7555043291708614,0.2557336830498456,0.30579333530153197,0.25844429252803497,0.18032786885245902,0.16374269005847952,0.2641509433962264,0.0,0.8769497400346621,0.3049645390070922,0.0,0.3333333333333333,0.5384615384615384,0.12727272727272726,0.0,0.7540983606557377,0.38738738738738737,0.0,0.23404255319148937,0.25112107623318386,0.17177914110429449,0.0,0.8108974358974359,0.3412698412698413,0.0,0.876351140268666,0.8191984146242821,0.7314262445281482,0.5853514968045745,0.8451286517156554,0.7757948531491132,0.65527950310559
5,0.9477173464211155,0.9313077321128239,0.6929212362911267,0.7961191773774067,0.3055708786955159,0.2778790696823484,0.2750646711389797,0.3076923076923077,0.27450980392156865,0.3050847457627119,0.0,0.8426183844011143,0.4090909090909091,0.0,0.12121212121212122,0.2692307692307692,0.4909090909090909,0.0,0.9016393442622951,0.16216216216216217,0.0,0.17391304347826086,0.27184466019417475,0.37630662020905925,0.0,0.871130309575234,0.23225806451612904,0.0,0.8991877538269291,0.8534336326134433,0.8059350503919374,0.7732088799192735,0.8641570753954717,0.7817941259645296,0.5951177235302615
6,0.9390055011940873,0.9439065986209445,0.6899302093718843,0.8048729418726933,0.2897814705281254,0.17796451812845257,0.17508881567016316,0.0,0.3333333333333333,0.29411764705882354,0.0,0.7135193133047211,0.6875,0.0,0.0,0.019230769230769232,0.13636363636363635,0.0,0.9910581222056631,0.0990990990990991,0.0,0.0,0.03636363636363636,0.18633540372670807,0.0,0.8296943231441049,0.1732283464566929,0.0,0.9039675101530772,0.8625333656879398,0.8209304693067291,0.7232593340060545,0.8678693911263535,0.7938431705247848,0.6617073523039145
7,0.9298897536650096,0.8927825821770562,0.7048853439680958,0.805425056328659,0.3751841895989917,0.2388319994877372,0.25471722868287017,0.6666666666666666,0.32432432432432434,0.26506024096385544,0.0,0.7702380952380953,0.6,0.0,0.06060606060606061,0.23076923076923078,0.2,0.0,0.9642324888226528,0.21621621621621623,0.0,0.1111111111111111,0.2696629213483146,0.22797927461139897,0.0,0.8563864990072799,0.31788079470198677,0.0,0.8917213370821618,0.8838065194532072,0.7950727883538634,0.739741002354524,0.8661232111755517,0.8102755221589302,0.6512350137223747
8,0.9275706396799653,0.8774960608709426,0.7058823529411765,0.8048093440625548,0.2751132952260772,0.22652799865914622,0.2345971115719015,0.0,0.375,0.2987012987012987,0.0,0.7649122807017544,0.48717948717948717,0.0,0.0,0.23076923076923078,0.20909090909090908,0.0,0.9746646795827124,0.17117117117117117,0.0,0.0,0.2857142857142857,0.24598930481283424,0.0,0.8571428571428571,0.25333333333333335,0.0,0.9019056544829741,0.8821685674997979,0.8086226203807392,0.7297342751429532,0.8732156644461602,0.7815113319597624,0.6565072945254947
9,0.9153540399793076,1.059528869295877,0.6181455633100698,0.7892965663198991,0.31147315083417115,0.2901938115052869,0.26808347984388853,0.5,0.20588235294117646,0.2593984962406015,0.0,0.8946428571428572,0.32038834951456313,0.0,0.09090909090909091,0.2692307692307692,0.6272727272727273,0.0,0.7466467958271237,0.2972972972972973,0.0,0.15384615384615385,0.23333333333333334,0.3670212765957447,0.0,0.8139723801787165,0.308411214953271,0.0,0.9110902842861606,0.8301585375717867,0.8054056805456581,0.6817188025563403,0.8679142800711042,0.7612309619036076,0.6675574173046367
10,0.9235804915155994,0.8923304043118916,0.6929212362911267,0.7966785493434063,0.29313066032436763,0.20622608819330132,0.19823538207361166,0.0,0.2857142857142857,0.36538461538461536,0.0,0.7341490545050056,0.6666666666666666,0.0,0.0,0.2692307692307692,0.17272727272727273,0.0,0.9836065573770492,0.018018018018018018,0.0,0.0,0.27722772277227725,0.2345679012345679,0.0,0.8407643312101911,0.03508771929824561,0.0,0.9101218369259607,0.893250020221629,0.8286165122671282,0.7380591994618231,0.882880254250983,0.7729770128873268,0.5508450093889933
