epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4
1,1.4130370196174173,1.412872314453125,0.43333333333333335,0.6488851748754113,0.1759733036707453,0.28703703703703703,0.2053135888501742,0.6379310344827587,0.0,0.0,0.24193548387096775,0.0,0.6851851851851852,0.0,0.0,0.75,0.0,0.6607142857142857,0.0,0.0,0.36585365853658536,0.0,0.7502805836139168,0.625,0.6024844720496895,0.619,0.6476608187134503
2,1.3892298305735868,1.3656625747680664,0.4666666666666667,0.6549624507763333,0.1650793650793651,0.24179894179894182,0.19583333333333333,0.5476190476190477,0.0,0.2777777777777778,0.0,0.0,0.8518518518518519,0.0,0.35714285714285715,0.0,0.0,0.6666666666666666,0.0,0.3125,0.0,0.0,0.7443883277216611,0.654320987654321,0.6098602484472049,0.6025,0.6637426900584795
3,1.3799706907833325,1.390859603881836,0.4666666666666667,0.6710748605520536,0.18345864661654138,0.26587301587301587,0.21333333333333332,0.6190476190476191,0.0,0.2982456140350877,0.0,0.0,0.7222222222222222,0.0,0.6071428571428571,0.0,0.0,0.6666666666666666,0.0,0.4,0.0,0.0,0.7455106621773289,0.6720679012345678,0.6428571428571428,0.6195,0.6754385964912281
4,1.3442071746377384,1.3431768417358398,0.45,0.6968472885478225,0.23790238836967809,0.21947089947089946,0.17680980938102375,0.4672897196261682,0.0,0.5,0.2222222222222222,0.0,0.9259259259259259,0.0,0.07142857142857142,0.1,0.0,0.6211180124223602,0.0,0.125,0.13793103448275862,0.0,0.7463524130190797,0.7253086419753086,0.6467391304347826,0.648,0.7178362573099415
5,1.3412691284628475,1.6042938232421875,0.3,0.6359996384241235,0.3478070175438597,0.294973544973545,0.2333023159636063,0.875,0.16666666666666666,0.5,0.19736842105263158,0.0,0.12962962962962962,0.16666666666666666,0.42857142857142855,0.75,0.0,0.22580645161290322,0.16666666666666666,0.46153846153846156,0.3125,0.0,0.7309203142536476,0.47299382716049376,0.6665372670807455,0.6575000000000001,0.652046783625731
6,1.3307267076828901,1.3998832702636719,0.4583333333333333,0.6944728289395719,0.17676767676767677,0.29814814814814816,0.2144144144144144,0.6060606060606061,0.0,0.0,0.2777777777777778,0.0,0.7407407407407407,0.0,0.0,0.75,0.0,0.6666666666666666,0.0,0.0,0.40540540540540543,0.0,0.7326038159371493,0.6890432098765431,0.6459627329192547,0.703,0.7017543859649122
7,1.319510768441593,1.4013252258300781,0.44166666666666665,0.6356695251890523,0.08983050847457627,0.1962962962962963,0.12325581395348836,0.4491525423728814,0.0,0.0,0.0,0.0,0.9814814814814815,0.0,0.0,0.0,0.0,0.6162790697674418,0.0,0.0,0.0,0.0,0.670875420875421,0.6149691358024691,0.6611024844720498,0.5545,0.6769005847953217
8,1.3399947110344381,1.3839693069458008,0.45,0.6845365851680878,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.744668911335578,0.7060185185185185,0.6308229813664596,0.6555,0.685672514619883
9,1.3372341885286219,1.3582820892333984,0.475,0.7170246649415223,0.31410256410256404,0.3314814814814815,0.2711204481792717,0.6153846153846154,0.6666666666666666,0.0,0.28846153846153844,0.0,0.7407407407407407,0.16666666666666666,0.0,0.75,0.0,0.6722689075630253,0.26666666666666666,0.0,0.4166666666666667,0.0,0.7774971941638609,0.7291666666666667,0.6774068322981366,0.7300000000000001,0.6710526315789473
10,1.3222565931432388,1.3610353469848633,0.45,0.7164088546281528,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.7505611672278338,0.7484567901234568,0.6875,0.685,0.7105263157894737
