epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,prec_class_7,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,rec_class_7,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6,auc_class_7
1,0.923756579265875,0.6724703222791725,0.7610981308411215,0.9664839852135967,0.8093350063098379,0.7217285878165243,0.7356172752990351,0.8035714285714286,0.599601593625498,0.8881118881118881,0.5798319327731093,0.9024390243902439,0.8888888888888888,0.888235294117647,0.924,0.7377049180327869,0.9647435897435898,0.8193548387096774,0.47586206896551725,0.6065573770491803,0.27972027972027974,0.9069069069069069,0.9829787234042553,0.7692307692307693,0.7395577395577395,0.8523489932885906,0.5227272727272727,0.7254901960784313,0.425531914893617,0.8974739970282318,0.9525773195876288,0.9667027528611196,0.9762912087912088,0.9756106656721983,0.8756850477714729,0.9829827817300751,0.9682172512000429,0.9869209310833675,0.9994612425992884
2,0.7050819015279811,0.8913158891356994,0.6740654205607477,0.9577480860088816,0.7485898307281724,0.6280770423087568,0.6265812605549869,0.6206896551724138,0.9779005524861878,0.783625730994152,0.6214953271028038,0.9148936170212766,0.8484848484848485,0.5568561872909699,0.6647727272727273,0.5901639344262295,0.5673076923076923,0.864516129032258,0.4586206896551724,0.3524590163934426,0.1958041958041958,1.0,0.9957446808510638,0.6050420168067226,0.718052738336714,0.8220858895705522,0.5277777777777778,0.5088757396449705,0.3181818181818182,0.715359828141783,0.797274275979557,0.9211825961439323,0.9830929487179487,0.9794435121304412,0.866191376885397,0.982585833591092,0.9423845752717644,0.9886826638095674,0.9984211815209093
3,0.6149958653803815,0.6173498920191114,0.7733644859813084,0.9727730119251093,0.7836246035312779,0.7753433146773197,0.7664843804216284,0.9166666666666666,0.9953051643192489,0.8095238095238095,0.5714285714285714,0.6604938271604939,0.6,0.9857651245551602,0.7298136645962733,0.6311475409836066,0.6794871794871795,0.8774193548387097,0.6344827586206897,0.8770491803278688,0.6713286713286714,0.8318318318318318,1.0,0.7475728155339806,0.8076190476190476,0.8421052631578947,0.6013071895424836,0.7535211267605634,0.6336633663366337,0.9022801302931596,0.8438061041292639,0.9931436230539231,0.9941941391941392,0.9871920774027803,0.8724404675299482,0.9872976595525311,0.9507993599771802,0.9971167686903728,1.0
4,0.5776150962088835,0.4597020259248876,0.8434579439252337,0.9854836999175905,0.8541501914080983,0.8110668121371043,0.8012339284622811,1.0,0.8781869688385269,0.8032786885245902,0.8153153153153153,0.5198237885462555,0.9230769230769231,0.9382352941176471,0.9552845528455285,0.4098360655737705,0.9935897435897436,0.9483870967741935,0.6241379310344828,0.9672131147540983,0.5874125874125874,0.9579579579579579,1.0,0.5813953488372093,0.9323308270676691,0.8698224852071006,0.70703125,0.6762177650429799,0.717948717948718,0.9479940564635958,0.9771309771309772,0.983359109186514,0.998106684981685,0.9909586259763399,0.9484019593578737,0.9836735745953191,0.9832150004234135,0.9962065038207171,0.999948140998862
5,0.5247391408936862,0.4908257444328237,0.8171728971962616,0.985853626656764,0.8224634660402006,0.8031493463024806,0.7804459597046673,0.911504424778761,0.973384030418251,0.7170731707317073,0.7362204724409449,0.5735294117647058,0.9024390243902439,0.8372703412073491,0.9282868525896414,0.8442622950819673,0.8205128205128205,0.9483870967741935,0.6448275862068965,0.9590163934426229,0.25874125874125875,0.9579579579579579,0.9914893617021276,0.8765957446808511,0.8904347826086957,0.8166666666666667,0.6875,0.7177914110429447,0.40217391304347827,0.8935574229691877,0.9588477366255144,0.9957469842251778,0.995521978021978,0.9875567157685374,0.9454532227557108,0.9918342097123415,0.9777329108113046,0.9936542779182372,0.9993287140408246
6,0.49885365540251375,0.6712638683547484,0.7365654205607477,0.982315516383824,0.8816579281919217,0.6431305550056746,0.674102186564671,0.9891304347826086,0.8982035928143712,1.0,0.43645484949832775,0.9166666666666666,1.0,0.812807881773399,1.0,0.7459016393442623,0.9615384615384616,0.4645161290322581,0.9,0.27049180327868855,0.18181818181818182,0.990990990990991,0.6297872340425532,0.8504672897196262,0.9287925696594427,0.6343612334801763,0.5878378378378378,0.4177215189873418,0.3076923076923077,0.8930987821380244,0.7728459530026109,0.9979946386225385,0.9954945054945055,0.9717571011249921,0.9421092196517774,0.9784668522528096,0.9759456604580887,0.9968685146350121,0.9998876388308676
7,0.44689440907522,0.4239845899777992,0.8487149532710281,0.9908174396994135,0.9131795994259637,0.7726626995797887,0.8026250523812597,1.0,0.916923076923077,0.92,0.5918803418803419,0.953125,1.0,0.9277456647398844,0.9957627118644068,0.38524590163934425,0.9551282051282052,0.8903225806451613,0.9551724137931035,0.5,0.5314685314685315,0.963963963963964,1.0,0.5562130177514792,0.9356357927786499,0.9049180327868852,0.7308707124010554,0.6559139784946236,0.6940639269406392,0.9455081001472754,0.9978768577494692,0.9848386431590886,0.996577380952381,0.9960179833012203,0.9702652892962802,0.9932157954428292,0.9877432955826837,0.9978811298608252,1.0
8,0.43609517381431906,0.562635316818117,0.8107476635514018,0.982858082617956,0.8622088770041183,0.7811245000398268,0.7973294503144146,0.9871794871794872,0.6610169491525424,0.71,0.8682634730538922,0.9578947368421052,0.8888888888888888,0.8244274809160306,1.0,0.6311475409836066,1.0,0.9161290322580645,0.5,0.7459016393442623,0.5594405594405595,0.972972972972973,0.9234042553191489,0.77,0.7959183673469388,0.8,0.6345733041575492,0.8387096774193549,0.6866952789699571,0.8925619834710744,0.9601769911504425,0.990983606557377,0.9959317765567766,0.9811465390432386,0.9368276832048111,0.990772244561295,0.9737394536629719,0.9936477449167804,0.9998156124403982
9,0.41569980044654986,0.4699186421582632,0.8288551401869159,0.989282885562804,0.8538873280366288,0.7808456486902663,0.7753962333736383,0.519650655021834,0.7673267326732673,0.9452054794520548,0.8271604938271605,0.8867924528301887,0.9807692307692307,0.9169054441260746,0.9872881355932204,0.9754098360655737,0.9935897435897436,0.8903225806451613,0.6931034482758621,0.38524590163934425,0.35664335664335667,0.960960960960961,0.9914893617021276,0.6780626780626781,0.8659217877094972,0.9169435215946844,0.7542213883677298,0.5371428571428571,0.5230769230769231,0.9384164222873901,0.9893842887473461,0.9907155376842974,0.9975641025641027,0.9964033397559409,0.9687157476114263,0.9842097123414786,0.9800906550428539,0.9967944739518344,0.9997695155504976
10,0.4097737234165484,0.22892335294006028,0.9316588785046729,0.9956628207548711,0.9348926524101645,0.9196819684416901,0.9251021819523653,0.98989898989899,0.9705882352941176,0.9085365853658537,0.8741496598639455,0.8712121212121212,0.967741935483871,0.9178470254957507,0.9791666666666666,0.8032786885245902,0.9519230769230769,0.9612903225806452,0.8862068965517241,0.9426229508196722,0.8391608391608392,0.972972972972973,1.0,0.8868778280542986,0.9611650485436893,0.9341692789968652,0.8801369863013698,0.905511811023622,0.898876404494382,0.9446064139941691,0.9894736842105263,0.998886483142592,0.9980906593406593,0.9979240474858599,0.9857873805713178,0.9971388802969379,0.9919551449188161,0.9955401376721174,0.9999798326106686
11,0.3946242429276201,0.38441249658571225,0.8691588785046729,0.9915067140212592,0.910134414660045,0.8232084304334437,0.8456944850421798,0.9875,0.9704918032786886,0.975609756097561,0.6214285714285714,0.9827586206896551,0.8301886792452831,0.9655172413793104,0.9475806451612904,0.6475409836065574,0.9487179487179487,0.7741935483870968,0.9,0.4672131147540984,0.9230769230769231,0.924924924924925,1.0,0.7821782178217822,0.9594813614262561,0.8633093525179856,0.7352112676056338,0.6333333333333333,0.8741721854304636,0.9447852760736196,0.9730848861283644,0.9968605010825858,0.9983997252747253,0.9923550251724782,0.9608807410640672,0.9944324157129601,0.9943886578685814,0.9947452891615328,0.9999913568331437
12,0.37051717340348556,0.5566862504755226,0.7973130841121495,0.988243214067801,0.8877261136448968,0.7146186016083009,0.7368688953007021,0.9696969696969697,0.8681948424068768,1.0,0.5386266094420601,0.9824561403508771,1.0,0.8756756756756757,0.8671586715867159,0.7868852459016393,0.9711538461538461,0.45161290322580644,0.8655172413793103,0.45901639344262296,0.2097902097902098,0.972972972972973,1.0,0.8687782805429864,0.9167927382753404,0.6222222222222222,0.6640211640211641,0.6256983240223464,0.3468208092485549,0.9217638691322901,0.9288537549407114,0.9955717084235488,0.993974358974359,0.9909254770339984,0.9449342839128959,0.9981647592535313,0.9866156787762906,0.9957709703902597,0.9999884757775248
