epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,rec_class_0,rec_class_1,f1_class_0,f1_class_1,auc_class_0,auc_class_1
1,0.3802843465643414,0.2791343072259968,0.8912213740458015,0.9449204989050748,0.8907547169811321,0.8154908121489098,0.8436680537018135,0.89,0.8915094339622641,0.6592592592592592,0.9717223650385605,0.7574468085106383,0.9298892988929889,0.9449204989050748,0.9449204989050748
2,0.2989903656102843,0.3209051749471462,0.8683206106870229,0.9317337903456155,0.823910502045853,0.8798724174045511,0.842837582317272,0.6853932584269663,0.9624277456647399,0.9037037037037037,0.8560411311053985,0.7795527156549521,0.9061224489795918,0.9317337903456155,0.9317337903456157
3,0.283891715437679,0.3831900448510141,0.833969465648855,0.9756355327049414,0.7975887170154686,0.873664667237932,0.8120353763374358,0.6142857142857143,0.9808917197452229,0.9555555555555556,0.7917737789203085,0.7478260869565218,0.8762446657183499,0.9756355327049414,0.9756355327049414
4,0.2599898160514185,0.18733184017015225,0.9217557251908397,0.9730553175283252,0.8984500574052813,0.8965152813481863,0.897476032087654,0.8507462686567164,0.9461538461538461,0.8444444444444444,0.9485861182519281,0.8475836431226765,0.9473684210526315,0.9730553175283252,0.9730553175283252
5,0.24222761776487706,0.17335903520385423,0.9293893129770993,0.985527944396839,0.9487268841185763,0.8677996762829667,0.8991295842503135,0.9803921568627451,0.9170616113744076,0.7407407407407407,0.9948586118251928,0.8438818565400844,0.9543773119605425,0.9855279443968389,0.985527944396839
6,0.2363065774157896,0.1449977629112475,0.9484732824427481,0.9897838712748739,0.9209111488398416,0.9532038465200419,0.9352218564423301,0.8552631578947368,0.9865591397849462,0.9629629629629629,0.9434447300771208,0.9059233449477352,0.9645203679369251,0.9897838712748739,0.9897838712748739
7,0.22495620452751547,0.1349382232310194,0.9541984732824428,0.9883747500714082,0.9483528035066146,0.9304579643911264,0.9389312977099236,0.937007874015748,0.9596977329974811,0.8814814814814815,0.9794344473007712,0.9083969465648855,0.9694656488549618,0.9883747500714082,0.9883747500714082
8,0.2197939293869471,0.4546957003996905,0.8377862595419847,0.9561268209083119,0.8856074481074481,0.6924402551651909,0.7278953123949978,0.9464285714285714,0.8247863247863247,0.3925925925925926,0.9922879177377892,0.5549738219895288,0.9008168028004667,0.9561268209083119,0.9561268209083119
9,0.23106178444320874,0.35827674468358356,0.8549618320610687,0.9879272588784158,0.8199052132701421,0.9023136246786632,0.8360423562735702,0.6398104265402843,1.0,1.0,0.8046272493573264,0.7803468208092486,0.8917378917378918,0.9879272588784157,0.9879272588784158
10,0.20702189681893687,0.23060117616797937,0.9103053435114504,0.966609540131391,0.8719903144396699,0.9154051223459964,0.8895838096903343,0.7716049382716049,0.9723756906077348,0.9259259259259259,0.9048843187660668,0.8417508417508418,0.9374167776298269,0.966609540131391,0.9666095401313911
11,0.21471940642696316,0.10857155557834741,0.9599236641221374,0.9900409406836141,0.948584003061615,0.9464057888222412,0.947487723752213,0.9253731343283582,0.9717948717948718,0.9185185185185185,0.974293059125964,0.9219330855018587,0.9730423620025674,0.9900409406836141,0.9900409406836141
12,0.18934580082610503,0.10098436655420245,0.9637404580152672,0.9925925925925927,0.9678044205203491,0.9368846996096354,0.9510249056752276,0.9754098360655737,0.9601990049751243,0.8814814814814815,0.9922879177377892,0.9260700389105059,0.9759797724399494,0.9925925925925927,0.9925925925925926
13,0.206625383486182,0.12449872719519066,0.9541984732824428,0.9953537084642483,0.9253891945365245,0.9667333142911549,0.9430310937160252,0.8535031847133758,0.997275204359673,0.9925925925925926,0.9408740359897172,0.9178082191780822,0.9682539682539683,0.9953537084642483,0.9953537084642483
14,0.19469354546676249,0.5885520180066427,0.7919847328244275,0.9875464153099114,0.7766393442622951,0.8598971722365039,0.7747356547597919,0.5532786885245902,1.0,1.0,0.7197943444730077,0.712401055408971,0.8370702541106129,0.9875464153099114,0.9875464153099115
15,0.19487653172622293,0.23591950806704434,0.9103053435114504,0.9874321622393601,0.8708047040169133,0.9274969056460058,0.891738868594689,0.7558139534883721,0.9857954545454546,0.9629629629629629,0.8920308483290489,0.8469055374592834,0.9365721997300944,0.9874321622393601,0.9874321622393601
16,0.19097966521473253,0.11166436036089153,0.9580152671755725,0.991830905455584,0.939910745699313,0.9523755117585452,0.9458962228730194,0.900709219858156,0.97911227154047,0.9407407407407408,0.9640102827763496,0.9202898550724637,0.9715025906735751,0.9918309054555842,0.991830905455584
17,0.1966517528234902,0.15839043869213623,0.9408396946564885,0.9808626106826621,0.9160818713450293,0.9335523183852232,0.9242883976304002,0.8611111111111112,0.9710526315789474,0.9185185185185185,0.9485861182519281,0.8888888888888888,0.9596879063719116,0.9808626106826621,0.9808626106826621
18,0.1816711463160434,0.1672219872248895,0.9446564885496184,0.9897362658288107,0.9144370122630991,0.9530515090926401,0.9310172638421695,0.8397435897435898,0.9891304347826086,0.9703703703703703,0.9357326478149101,0.9003436426116839,0.9616908850726552,0.9897362658288108,0.9897362658288107
19,0.16053418638342518,0.138341006568887,0.9427480916030534,0.9929924783395221,0.9134823740817082,0.9469294487289346,0.9281798245614035,0.8431372549019608,0.9838274932614556,0.9555555555555556,0.9383033419023136,0.8958333333333334,0.9605263157894737,0.9929924783395221,0.992992478339522
20,0.1741173318382037,0.18493752316995102,0.933206106870229,0.9935066171570027,0.8970588235294117,0.955012853470437,0.9190697879663747,0.7941176470588235,1.0,1.0,0.910025706940874,0.8852459016393442,0.9528936742934051,0.9935066171570027,0.9935066171570027
