epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,prec_class_7,prec_class_8,prec_class_9,prec_class_10,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,rec_class_7,rec_class_8,rec_class_9,rec_class_10,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9,f1_class_10,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6,auc_class_7,auc_class_8,auc_class_9,auc_class_10
1,1.230713194968815,0.8407283894220988,0.6551003344481605,0.969527655481111,0.6114894245711093,0.5591367863449733,0.5364284173027837,0.9734513274336283,0.0,0.48044692737430167,0.7926829268292683,0.7,0.4880952380952381,0.535175879396985,1.0,0.7989556135770235,0.6166666666666667,0.3409090909090909,0.5759162303664922,0.0,0.8958333333333334,0.9653465346534653,0.10606060606060606,0.5222929936305732,0.993006993006993,0.723342939481268,0.8693181818181818,0.20670391061452514,0.2926829268292683,0.7236842105263158,0.0,0.6254545454545455,0.8705357142857143,0.18421052631578946,0.5046153846153846,0.6955102040816327,0.8394648829431438,0.8326530612244898,0.30962343096234307,0.31496062992125984,0.9937106170208211,0.9808545252162001,0.9762086236933798,0.9982933224829331,0.9708635022794314,0.9631684692001881,0.992974931334585,0.9970801068184861,0.9728929924242424,0.9406503469846792,0.8781067728372757
2,0.8910020803699658,0.5018784326314926,0.8277591973244147,0.9865841802924652,0.773900105792242,0.7440257545794985,0.7299718229939974,0.9764705882352941,0.527027027027027,0.5,0.9818181818181818,0.5767195767195767,0.631578947368421,0.781021897810219,0.9682080924855492,0.9819277108433735,0.7052023121387283,0.8829268292682927,0.8691099476439791,0.7647058823529411,0.010416666666666666,0.801980198019802,0.8257575757575758,0.4585987261146497,0.9976689976689976,0.9654178674351584,0.9261363636363636,0.6815642458100558,0.8829268292682927,0.9196675900277008,0.624,0.02040816326530612,0.8828337874659401,0.6791277258566978,0.5313653136531366,0.8761514841351075,0.9668109668109668,0.9532163742690059,0.6931818181818182,0.8829268292682927,0.9968124912284041,0.9782943745183663,0.9695076582462254,0.9988177584881777,0.9819288012872084,0.9725986406189887,0.9983636672378393,0.9968644969455268,0.9860844195632797,0.9762651876797088,0.9968884874033925
3,0.7746599858991903,0.33100415507952374,0.8632943143812709,0.9935195500975292,0.857243900974003,0.8027704470165616,0.7696676748415539,0.9247311827956989,1.0,0.489247311827957,0.9840425531914894,0.5454545454545454,0.8846153846153846,0.983132530120482,0.9680232558139535,0.9157608695652174,0.8626373626373627,0.8720379146919431,0.900523560209424,0.029411764705882353,0.9479166666666666,0.9158415841584159,0.9545454545454546,0.4394904458598726,0.951048951048951,0.9596541786743515,0.9573863636363636,0.8770949720670391,0.8975609756097561,0.9124668435013262,0.05714285714285714,0.6453900709219859,0.9487179487179487,0.6942148760330579,0.5872340425531914,0.966824644549763,0.9638205499276411,0.9361111111111111,0.8698060941828255,0.8846153846153846,0.9983800794974202,0.9847803750321089,0.9831908754355401,0.9996541434965415,0.9887101099490481,0.9882870944299577,0.9990025257473042,0.99886417282611,0.9955924131016043,0.9966071487174568,0.9956461128397291
4,0.7004030976357207,0.3145527885357539,0.8808528428093646,0.9925055806746447,0.7916325680041981,0.8163653823792013,0.7901577106642222,0.916256157635468,0.5257731958762887,0.0,0.9947089947089947,0.7159763313609467,0.95,0.89937106918239,1.0,0.9881305637982196,1.0,0.717741935483871,0.9738219895287958,1.0,0.0,0.9306930693069307,0.9166666666666666,0.6050955414012739,1.0,0.9740634005763689,0.9460227272727273,0.7653631284916201,0.8682926829268293,0.9441624365482234,0.6891891891891891,0.0,0.9616368286445013,0.8039867109634552,0.7392996108949417,0.9470198675496688,0.9868613138686131,0.9666182873730044,0.8670886075949367,0.7858719646799117,0.9996479467923909,0.9806233410394725,0.9778691202090593,0.9992404719924047,0.9934030571198712,0.9938272132689266,0.9993825159388073,0.9999915447108644,0.9886642156862745,0.9985156275638873,0.9863963330991334
5,0.6589692574173542,0.42425959507624306,0.8089464882943144,0.9916618048396731,0.8100987261940614,0.722545601570641,0.6932765893425978,1.0,0.6666666666666666,0.4835164835164835,1.0,0.8125,0.5015974440894568,0.7435008665511266,1.0,0.9618768328445748,0.9126984126984127,0.8287292817679558,0.93717277486911,0.0196078431372549,0.9166666666666666,0.7277227722772277,0.09848484848484848,1.0,1.0,0.9423631123919308,0.9318181818181818,0.6424581005586593,0.7317073170731707,0.9675675675675676,0.0380952380952381,0.6330935251798561,0.8424068767908309,0.17567567567567569,0.6680851063829787,0.852882703777336,0.9703264094955489,0.9466089466089466,0.7540983606557377,0.7772020725388601,0.9997359600942931,0.980190941005223,0.9783817871660859,0.9992856819928568,0.9860552426924108,0.9893928383134556,0.9991402721917241,0.9994616799250298,0.9932946189839571,0.9960946868049894,0.9872461440663789
6,0.6116400683337752,0.28540089885393777,0.895066889632107,0.9937206124996245,0.8442369712325584,0.830099238075167,0.8238823238728087,1.0,0.5126582278481012,0.46153846153846156,0.9382022471910112,0.9120879120879121,0.7684729064039408,0.9320175438596491,0.9971264367816092,0.9940119760479041,0.9559748427672956,0.8145161290322581,0.9319371727748691,0.7941176470588235,0.1875,0.8267326732673267,0.6287878787878788,0.9936305732484076,0.9906759906759907,1.0,0.9431818181818182,0.8491620111731844,0.9853658536585366,0.964769647696477,0.6230769230769231,0.26666666666666666,0.8789473684210526,0.7443946188340808,0.8666666666666667,0.96045197740113,0.9985611510791367,0.967930029154519,0.8994082840236687,0.891832229580574,0.9997335813564039,0.9800453805976539,0.9754872604529616,0.9977327184773271,0.9970199785465272,0.9988971059718719,0.9994122026725185,0.9999985907851441,0.9867103943850267,0.9981445344548592,0.9977449897955769
7,0.5986114515108774,0.40310399522384005,0.8411371237458194,0.9936842993152631,0.8286539197012837,0.7740035928329518,0.7761749338893688,1.0,0.5669291338582677,0.5818181818181818,0.9821428571428571,0.5603448275862069,0.9186046511627907,0.7781818181818182,1.0,0.9882005899705014,0.9919354838709677,0.7470355731225297,0.8952879581151832,0.7058823529411765,0.3333333333333333,0.5445544554455446,0.9848484848484849,0.5031847133757962,0.9976689976689976,0.9884726224783862,0.9517045454545454,0.6871508379888268,0.9219512195121952,0.9447513812154696,0.62882096069869,0.423841059602649,0.7006369426751592,0.7142857142857143,0.6502057613168725,0.874361593462717,0.9942028985507246,0.9696092619392185,0.8118811881188119,0.8253275109170306,0.9996860065986188,0.9833932699717443,0.9820838777584204,0.9965821239658212,0.9960210512201663,0.9946650707476596,0.9987400950212972,0.9999957723554322,0.9918894830659537,0.9941887324014773,0.9932818093613035
8,0.5608784364198786,0.2936556525528431,0.8883779264214047,0.9932187391078255,0.8008836204851115,0.8141880791840795,0.7932121865001882,0.9621621621621622,0.5164835164835165,0.0,0.9948186528497409,1.0,0.8918918918918919,0.9206008583690987,1.0,0.9970238095238095,0.8341463414634146,0.6925925925925925,0.9319371727748691,0.9215686274509803,0.0,0.9504950495049505,0.5151515151515151,0.8407643312101911,1.0,0.9769452449567724,0.9517045454545454,0.9553072625698324,0.9121951219512195,0.9468085106382979,0.6619718309859155,0.0,0.9721518987341772,0.68,0.8655737704918033,0.958659217877095,0.9883381924198251,0.9738372093023255,0.890625,0.7873684210526316,0.9992388038754398,0.9784056854182721,0.976653237514518,0.9993896649938967,0.9941740412979351,0.9955086279371322,0.9998076299655515,0.9999929539257203,0.9934603386809269,0.9973089438488162,0.991466202727871
9,0.5628411885989433,0.2957409186164538,0.8996655518394648,0.9944620020161772,0.8122024086793949,0.8425362071404948,0.8187667039592057,1.0,0.5078534031413613,0.0,0.9704433497536946,0.9140625,0.9927536231884058,0.8877338877338877,1.0,1.0,0.759825327510917,0.9015544041450777,0.8691099476439791,0.9509803921568627,0.0,0.9752475247524752,0.8863636363636364,0.8726114649681529,0.9953379953379954,0.9769452449567724,0.9204545454545454,0.9720670391061452,0.848780487804878,0.9299719887955182,0.6621160409556314,0.0,0.9728395061728395,0.9,0.9288135593220339,0.9384615384615385,0.9883381924198251,0.9585798816568047,0.8529411764705882,0.8743718592964824,0.9995623122283779,0.9849387790050518,0.9847379500580721,0.9997558659975586,0.9932052829176723,0.9995668219837843,0.9991034606419222,1.0,0.9881559157754011,0.9961805178642202,0.9938751157058896
10,0.5441455593293604,0.25362269644935925,0.9025919732441472,0.9953279937913091,0.8559039030750891,0.8434714225433256,0.8389218417392352,0.9820359281437125,0.5384615384615384,0.5538461538461539,0.9804878048780488,0.7866666666666666,1.0,0.9838337182448037,0.9971264367816092,1.0,0.7797356828193832,0.8127490039840638,0.8586387434554974,0.6862745098039216,0.375,0.995049504950495,0.8939393939393939,0.5605095541401274,0.993006993006993,1.0,0.9318181818181818,0.9888268156424581,0.9951219512195122,0.9162011173184358,0.603448275862069,0.4472049689440994,0.9877149877149877,0.8368794326241135,0.7183673469387755,0.988399071925754,0.9985611510791367,0.9647058823529412,0.8719211822660099,0.8947368421052632,0.9985894084316744,0.9825627194109086,0.9819840664924506,0.9999706134997062,0.9954880665057656,0.998771712335599,0.9999061899214727,1.0,0.9938377339572193,0.998237938842846,0.9992594823067572
11,0.5208720311467362,0.3913595078885555,0.8821070234113713,0.9917690285154985,0.880454828733214,0.8394274256567628,0.8519295695306279,1.0,0.7294117647058823,0.6568627450980392,0.9658536585365853,0.9296875,0.9272727272727272,0.7308347529812607,1.0,1.0,0.7870967741935484,0.957983193277311,0.9109947643979057,0.6078431372549019,0.6979166666666666,0.9801980198019802,0.9015151515151515,0.9745222929936306,1.0,0.9827089337175793,0.9403409090909091,0.6815642458100558,0.5560975609756098,0.9534246575342465,0.6631016042780749,0.6767676767676768,0.972972972972973,0.9153846153846154,0.9503105590062112,0.844488188976378,0.9912790697674418,0.9692532942898975,0.7305389221556886,0.7037037037037037,0.9995932358209382,0.9879998287524617,0.9870426829268292,0.9993082869930829,0.9986222847948512,0.9991535929551575,0.997980114638291,0.9999859078514406,0.9995181595365419,0.9847978047444381,0.9554574146564511
12,0.5179480888068897,0.2053388433655103,0.9343645484949833,0.9970416487175118,0.9046982891058414,0.9041204540043547,0.9030336047002748,1.0,0.7029702970297029,0.6842105263157895,0.9901960784313726,0.8698630136986302,0.95,0.9244060475161987,1.0,1.0,0.8805970149253731,0.949438202247191,0.9162303664921466,0.696078431372549,0.6770833333333334,1.0,0.9621212121212122,0.9681528662420382,0.9976689976689976,1.0,0.9147727272727273,0.9888268156424581,0.824390243902439,0.9562841530054644,0.6995073891625616,0.680628272251309,0.9950738916256158,0.9136690647482014,0.9589905362776026,0.9596412556053812,1.0,0.9554896142433235,0.9315789473684211,0.8825065274151436,0.9998049434930815,0.9885991951365699,0.9889617813588849,0.9999977394999774,0.998977607937785,0.9997720115704127,0.9997601311916137,1.0,0.9957748440285205,0.9994143292428943,0.9963955524328907
13,0.5023740424180884,0.3256174628933271,0.8846153846153846,0.9939870366480036,0.8702158216679468,0.8447756042547007,0.8447630785575054,0.994535519125683,0.723404255319149,0.547945205479452,0.8375,0.9833333333333333,0.9795918367346939,0.8140417457305503,1.0,1.0,0.8486486486486486,0.8433734939759037,0.9528795811518325,0.3333333333333333,0.8333333333333334,0.995049504950495,0.8939393939393939,0.9171974522292994,1.0,0.9971181556195965,0.8096590909090909,0.8770949720670391,0.6829268292682927,0.9732620320855615,0.4563758389261745,0.6611570247933884,0.9095022624434389,0.9365079365079365,0.9473684210526315,0.897489539748954,0.9985569985569985,0.8948194662480377,0.8626373626373627,0.7547169811320755,0.9998453820371986,0.9872249336415789,0.9858585583623692,0.999708395497084,0.9984245105926522,0.9996409182234001,0.9995950729521794,0.9999985907851441,0.9966869986631016,0.995718544810124,0.9711554975632062
