epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4
1,1.4415822870591108,1.4123992919921875,0.45,0.6477560497642877,0.15824175824175823,0.22751322751322753,0.18403940886699507,0.5054945054945055,0.0,0.2857142857142857,0.0,0.0,0.8518518518518519,0.0,0.2857142857142857,0.0,0.0,0.6344827586206897,0.0,0.2857142857142857,0.0,0.0,0.7435465768799102,0.6072530864197531,0.6211180124223603,0.5885,0.6783625730994152
2,1.3749989060794605,1.3808860778808594,0.425,0.6603954920605568,0.08869565217391304,0.18888888888888888,0.12071005917159763,0.4434782608695652,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.6035502958579881,0.0,0.0,0.0,0.0,0.7514029180695847,0.5447530864197532,0.6579968944099379,0.668,0.6798245614035088
3,1.3522437600528492,1.41094970703125,0.4583333333333333,0.6696039977340511,0.1873015873015873,0.31074074074074076,0.2188646477803104,0.6666666666666666,0.0,0.0,0.2698412698412698,0.0,0.7037037037037037,0.0,0.0,0.85,0.0,0.6846846846846847,0.0,0.0,0.40963855421686746,0.0,0.7435465768799102,0.6180555555555556,0.6432453416149069,0.6575,0.685672514619883
4,1.3551801513223087,1.3644390106201172,0.4666666666666667,0.6619508223420504,0.22902197023387666,0.25952380952380955,0.23472019464720195,0.5421686746987951,0.0,0.35294117647058826,0.25,0.0,0.8333333333333334,0.0,0.21428571428571427,0.25,0.0,0.656934306569343,0.0,0.26666666666666666,0.25,0.0,0.7401795735129068,0.6126543209876543,0.6517857142857143,0.618,0.6871345029239766
5,1.341930866241455,1.3780097961425781,0.45,0.6668209919836923,0.16533333333333333,0.27555555555555555,0.20407871198568875,0.56,0.0,0.0,0.26666666666666666,0.0,0.7777777777777778,0.0,0.0,0.6,0.0,0.6511627906976745,0.0,0.0,0.36923076923076925,0.0,0.739337822671156,0.6466049382716049,0.6242236024844721,0.6485,0.6754385964912281
6,1.3323901400846594,1.3700675964355469,0.5,0.6759735913124929,0.2655804311774461,0.2892592592592592,0.26171823195484467,0.6417910447761194,0.0,0.3111111111111111,0.375,0.0,0.7962962962962963,0.0,0.5,0.15,0.0,0.7107438016528925,0.0,0.3835616438356164,0.21428571428571427,0.0,0.7572951739618405,0.6496913580246914,0.6374223602484471,0.7185,0.6169590643274854
7,1.3412865470437443,1.3554573059082031,0.425,0.6856960206474316,0.12980769230769232,0.20777777777777776,0.1548523206751055,0.46153846153846156,0.0,0.0,0.1875,0.0,0.8888888888888888,0.0,0.0,0.15,0.0,0.6075949367088608,0.0,0.0,0.16666666666666666,0.0,0.7592592592592591,0.6674382716049383,0.6288819875776397,0.696,0.6769005847953217
8,1.335715939016903,1.3447399139404297,0.45,0.6795131912272263,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.7586980920314254,0.6481481481481481,0.6428571428571429,0.6695,0.6783625730994152
9,1.325348180883071,1.3267955780029297,0.45,0.694296177642173,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.7654320987654321,0.7114197530864197,0.6494565217391305,0.6595,0.6856725146198831
10,1.330636136672076,1.3260116577148438,0.475,0.6948389647446092,0.18663324979114454,0.2695767195767195,0.21675213675213678,0.6349206349206349,0.0,0.2982456140350877,0.0,0.0,0.7407407407407407,0.0,0.6071428571428571,0.0,0.0,0.6837606837606838,0.0,0.4,0.0,0.0,0.7718855218855218,0.6859567901234568,0.640527950310559,0.696,0.6798245614035088
11,1.3244914728052475,1.3174047470092773,0.475,0.676872884230779,0.17291399229781773,0.2523809523809524,0.2050802139037433,0.5487804878048781,0.0,0.3157894736842105,0.0,0.0,0.8333333333333334,0.0,0.42857142857142855,0.0,0.0,0.6617647058823529,0.0,0.36363636363636365,0.0,0.0,0.7665544332210998,0.6705246913580247,0.6339285714285715,0.654,0.6593567251461988
12,1.320858730989344,1.3230648040771484,0.45,0.6972367642132706,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.7993827160493827,0.7044753086419753,0.6506211180124223,0.6665,0.6652046783625731
13,1.3130849950453813,1.3353509902954102,0.45,0.6885331754947317,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.7721661054994389,0.6975308641975309,0.6490683229813665,0.647,0.6769005847953217
