epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,rec_class_0,rec_class_1,f1_class_0,f1_class_1,auc_class_0,auc_class_1
1,0.42996827788272146,0.32802285795862024,0.8702290076335878,0.9450157097972008,0.8261841146465874,0.8835761211082548,0.8453982193373714,0.6871508379888268,0.9652173913043478,0.9111111111111111,0.8560411311053985,0.7834394904458599,0.9073569482288828,0.9450157097972008,0.9450157097972008
2,0.3154109845727177,0.33945713892127527,0.8664122137404581,0.9713700847376939,0.8284916286849899,0.9076073502808721,0.8471539294941246,0.6600985221674877,0.9968847352024922,0.9925925925925926,0.8226221079691517,0.7928994082840237,0.9014084507042254,0.9713700847376939,0.9713700847376939
3,0.28314784704628637,0.4887737523425709,0.7977099236641222,0.9656003046748548,0.7771063967420868,0.8589165000476054,0.7791245148565248,0.5611814345991561,0.9930313588850174,0.9851851851851852,0.7326478149100257,0.7150537634408602,0.8431952662721893,0.9656003046748548,0.9656003046748548
4,0.2866445644427154,0.26861240647055884,0.8931297709923665,0.938465200418928,0.8551760226637074,0.8748167190326573,0.8641556950539785,0.7687074829931972,0.9416445623342176,0.837037037037037,0.9125964010282777,0.8014184397163121,0.9268929503916449,0.9384652004189279,0.938465200418928
5,0.2690542174597918,0.23735886146173332,0.9103053435114504,0.954889079310673,0.9015190415062045,0.8573645625059507,0.876210725253957,0.8859649122807017,0.9170731707317074,0.7481481481481481,0.9665809768637532,0.8112449799196787,0.9411764705882353,0.9548890793106731,0.954889079310673
6,0.237310277809531,0.6112680380994623,0.7614503816793893,0.96470532228887,0.7560342817164178,0.8344949062172713,0.7450240767341283,0.51953125,0.9925373134328358,0.9851851851851852,0.6838046272493573,0.680306905370844,0.8097412480974124,0.9647053222888698,0.96470532228887
7,0.25446288828122415,0.308231637784929,0.8778625954198473,0.9695134723412359,0.8364526573481796,0.9056460059030753,0.8570356728736103,0.6878306878306878,0.9850746268656716,0.9629629629629629,0.8483290488431876,0.8024691358024691,0.9116022099447514,0.9695134723412359,0.9695134723412359
8,0.23037876153396347,0.15869028708248428,0.9446564885496184,0.9747024659621061,0.9236607142857143,0.933704655812625,0.9285146418910972,0.8785714285714286,0.96875,0.9111111111111111,0.9562982005141388,0.8945454545454545,0.96248382923674,0.9747024659621061,0.9747024659621061
9,0.234451099371506,0.2905019327546611,0.8931297709923665,0.9797010377987242,0.8518273923618382,0.9159287822526897,0.8731410389430726,0.7182320441988951,0.9854227405247813,0.9629629629629629,0.8688946015424165,0.8227848101265823,0.9234972677595629,0.9797010377987242,0.9797010377987242
10,0.22022935424820853,0.47565645250407135,0.8473282442748091,0.9783204798628964,0.8119709885983375,0.8923355231838522,0.827413006603758,0.6303317535545023,0.9936102236421726,0.9851851851851852,0.7994858611825193,0.7687861271676301,0.886039886039886,0.9783204798628964,0.9783204798628963
11,0.22670453968694654,0.3264461044560779,0.8854961832061069,0.9699133580881653,0.8439767200829148,0.9107873940778826,0.8650412087912087,0.7027027027027027,0.9852507374631269,0.9629629629629629,0.8586118251928021,0.8125,0.9175824175824175,0.9699133580881653,0.9699133580881653
12,0.2155387337935173,0.17643254950191034,0.9351145038167938,0.974969056460059,0.9051541998828188,0.9345329905741218,0.9182497292733514,0.8344370860927153,0.9758713136729222,0.9333333333333333,0.9357326478149101,0.8811188811188811,0.9553805774278216,0.974969056460059,0.9749690564600589
13,0.2103849965131889,0.2989940273039269,0.8854961832061069,0.9752546891364372,0.8443326615782543,0.9132057507378843,0.8655099840870593,0.7005347593582888,0.9881305637982196,0.9703703703703703,0.8560411311053985,0.8136645962732919,0.9173553719008265,0.9752546891364371,0.9752546891364373
14,0.20070846444469387,0.19360981746153397,0.9427480916030534,0.9842330762639246,0.9144576815865633,0.9445110920689327,0.9278674081823688,0.847682119205298,0.9812332439678284,0.9481481481481482,0.9408740359897172,0.8951048951048951,0.9606299212598425,0.9842330762639246,0.9842330762639246
15,0.17156459951804856,0.13225921017654013,0.950381679389313,0.9904408264305437,0.9217414109624966,0.9593259068837474,0.9380220180147394,0.8516129032258064,0.991869918699187,0.9777777777777777,0.9408740359897172,0.9103448275862069,0.9656992084432717,0.9904408264305437,0.9904408264305437
16,0.17588418732255193,0.23521397014458975,0.9236641221374046,0.9906026849471579,0.8863071922660222,0.9413310482719223,0.907328805885682,0.7810650887573964,0.9915492957746479,0.9777777777777777,0.9048843187660668,0.868421052631579,0.946236559139785,0.990602684947158,0.9906026849471579
17,0.16622438198429043,0.16320989258361585,0.9446564885496184,0.9870703608492811,0.9173083778966132,0.9457964391126346,0.9301188751695753,0.8533333333333334,0.9812834224598931,0.9481481481481482,0.9434447300771208,0.8982456140350877,0.9619921363040629,0.9870703608492811,0.9870703608492811
18,0.17292362087863986,0.1915518840154012,0.9408396946564885,0.9897743501856613,0.9098731884057971,0.9480624583452346,0.9262598337623191,0.8333333333333334,0.9864130434782609,0.9629629629629629,0.9331619537275064,0.8934707903780069,0.9590488771466315,0.9897743501856612,0.9897743501856613
